,ID,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags
21,45733601,73034,1079,HYUNDAI,Sonata,2018,Sedan,Yes,Petrol,2,41895,4.0,Automatic,Front,4.0,Left wheel,White,4
22,45789396,6272,-,NISSAN,Teana,2005,Sedan,No,Petrol,2.3,172000,6.0,Automatic,Front,4.0,Left wheel,Black,6
23,42809584,12544,-,BMW,320,2001,Sedan,No,Petrol,2.2,115000,4.0,Automatic,Front,4.0,Right-hand drive,Black,4
24,45816595,3600,-,MERCEDES-BENZ,190,1992,Sedan,No,Petrol,1.8,0,4.0,Manual,Front,4.0,Left wheel,Black,2
25,45431202,15994,475,CHEVROLET,Cruze,2012,Sedan,Yes,Petrol,1.4 Turbo,74000,4.0,Automatic,Front,4.0,Left wheel,Silver,8
26,45766462,5331,-,NISSAN,Tiida,2006,Hatchback,No,Petrol,1.5,290000,4.0,Variator,Front,4.0,Right-hand drive,Golden,2
27,45410055,24462,-,CHEVROLET,Volt,2012,Sedan,No,Plug-in Hybrid,1.4,160000,4.0,Automatic,Front,4.0,Left wheel,White,10
28,45647810,3136,781,TOYOTA,Camry,2012,Sedan,Yes,Hybrid,2.5,159379,4.0,Automatic,Front,4.0,Left wheel,White,12
29,45810396,26594,1079,CHEVROLET,Orlando,2018,Jeep,Yes,LPG,2,140070,4.0,Automatic,Front,4.0,Left wheel,Grey,4
30,45633647,2666,431,FORD,Fusion,2016,Sedan,Yes,Hybrid,2,194974,4.0,Automatic,Front,4.0,Left wheel,Black,0
31,45754183,3136,1053,NISSAN,Maxima,2014,Sedan,Yes,Petrol,3.5,150752,6.0,Automatic,Front,4.0,Left wheel,White,12
32,45793381,23521,1195,MERCEDES-BENZ,C 220,2008,Universal,No,Diesel,2.2 Turbo,177000,4.0,Tiptronic,Rear,4.0,Left wheel,White,12
33,45782218,8000,-,MERCEDES-BENZ,E 240,1999,Sedan,No,Petrol,2.4,253000,6.0,Manual,Rear,4.0,Left wheel,Silver,5
34,45797515,20266,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,83198,4.0,Automatic,Front,4.0,Left wheel,Black,4
35,44012611,3800,-,MERCEDES-BENZ,E 320,2000,Sedan,Yes,Diesel,3.2,1000,6.0,Tiptronic,Rear,4.0,Left wheel,Silver,6
36,45765220,16621,779,TOYOTA,Camry,2013,Sedan,No,Hybrid,2.5,136861,4.0,Automatic,Front,4.0,Left wheel,Blue,0
37,45767648,549,585,TOYOTA,Prius,2013,Sedan,Yes,Hybrid,1.8,298248,4.0,Automatic,Front,4.0,Left wheel,White,12
38,45624954,14113,915,BMW,X5,2014,Jeep,Yes,Diesel,3,110715,6.0,Automatic,4x4,4.0,Left wheel,White,0
39,45794583,31988,-,MERCEDES-BENZ,E 200,2012,Sedan,Yes,Petrol,2,120000,4.0,Tiptronic,Rear,4.0,Left wheel,Blue,12
40,45815802,12544,640,FORD,Focus,2013,Hatchback,No,Petrol,2,215626,4.0,Manual,Front,4.0,Left wheel,Silver,12
41,45734406,30,-,HONDA,FIT,2006,Hatchback,No,Petrol,1.3,0,4.0,Automatic,Front,4.0,Right-hand drive,Silver,4
42,44818869,3763,-,VAZ,2106,1996,Sedan,No,Petrol,1.6,0,4.0,Manual,Rear,4.0,Left wheel,Beige,0
43,45775558,15053,475,CHEVROLET,Cruze,2012,Sedan,No,Petrol,1.4,115200,4.0,Tiptronic,Front,4.0,Left wheel,Carnelian red,8
44,45768168,23521,1058,TOYOTA,Highlander,2012,Jeep,Yes,Petrol,3.5,140966,6.0,Automatic,4x4,4.0,Left wheel,Black,12
45,45769057,22894,-,MERCEDES-BENZ,416,2000,Microbus,No,Diesel,2.7 Turbo,333333,5.0,Manual,Rear,4.0,Left wheel,Green,2
46,45812674,470,780,CHEVROLET,Cruze,2019,Sedan,Yes,Petrol,1.4,17507,4.0,Automatic,Front,4.0,Left wheel,Brown,12
47,45782062,11917,-,VOLKSWAGEN,T5,2008,Minivan,No,Diesel,2.5,150000,5.0,Manual,4x4,4.0,Left wheel,Silver,0
48,45788458,17249,-,TOYOTA,Prius,2011,Hatchback,No,Hybrid,1.8,142000,4.0,Variator,Front,4.0,Left wheel,Beige,12
49,45803400,8467,639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,464656,4.0,Automatic,Front,4.0,Left wheel,Orange,4
50,45769630,11917,-,HONDA,FIT,2011,Hatchback,No,Petrol,1.3,115000,4.0,Automatic,Front,4.0,Right-hand drive,Silver,4
51,45687835,9361,779,VOLKSWAGEN,Passat SE,2013,Sedan,Yes,Petrol,2.5,131000,5.0,Tiptronic,Front,4.0,Left wheel,Black,10
52,45730306,28212,707,SSANGYONG,REXTON,2011,Jeep,Yes,Diesel,2,100959,4.0,Automatic,Front,4.0,Left wheel,Black,4
53,45762630,470,753,HYUNDAI,Sonata,2012,Jeep,Yes,Hybrid,2.4,123862,4.0,Automatic,Front,4.0,Left wheel,White,0
54,45789776,3293,565,CHEVROLET,Matiz,2007,Sedan,Yes,Petrol,0.8,134863,4.0,Automatic,Front,4.0,Left wheel,Golden,4
55,45767481,549,891,AUDI,A6,2016,Sedan,Yes,Petrol,2,97826,4.0,Automatic,4x4,4.0,Left wheel,Grey,0
56,45648999,392,779,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,232032,4.0,Automatic,Front,4.0,Left wheel,Silver,12
57,45683846,12544,-,FORD,Transit,1995,Goods wagon,No,Diesel,2.5 Turbo,207888,4.0,Manual,Rear,4.0,Left wheel,White,0
58,45647869,470,1018,MERCEDES-BENZ,ML 350,2011,Jeep,Yes,Diesel,3,275862,6.0,Automatic,4x4,4.0,Left wheel,Silver,12
59,45780995,11917,586,NISSAN,Versa,2012,Sedan,No,Petrol,1.8,76500,4.0,Automatic,Front,4.0,Left wheel,White,4
60,45781278,28225,-,LEXUS,CT 200h,2012,Hatchback,Yes,Hybrid,1.8,128297,4.0,Automatic,Front,4.0,Left wheel,Brown,4
61,45783822,7840,-,MERCEDES-BENZ,E 280,1998,Sedan,Yes,CNG,2.8,3200,6.0,Automatic,4x4,4.0,Left wheel,Black,6
62,45807159,18503,-,FORD,Transit T330,2004,Microbus,No,Diesel,2.4 Turbo,185641,4.0,Manual,Rear,2.0,Left wheel,White,4
63,45766723,188,308,TOYOTA,Prius,2014,Jeep,Yes,Hybrid,1.8,187334,4.0,Automatic,Front,4.0,Left wheel,White,12
64,45814834,1568,934,TOYOTA,Camry,2015,Sedan,Yes,Petrol,2.5,173101,4.0,Automatic,Front,4.0,Left wheel,Silver,12
65,45816402,3136,831,HYUNDAI,Sonata,2011,Sedan,Yes,Petrol,2.4,262690,4.0,Automatic,Front,4.0,Left wheel,Blue,12
66,45808615,1019,1077,BMW,X3,2019,Sedan,Yes,Petrol,2,33870,4.0,Automatic,Rear,4.0,Left wheel,White,12
67,45656731,706,585,TOYOTA,Prius,2013,Hatchback,Yes,Hybrid,1.8,105328,4.0,Automatic,Front,4.0,Left wheel,White,12
68,45802972,49293,1017,HYUNDAI,Santa FE,2017,Jeep,Yes,Diesel,2,156887,4.0,Automatic,Front,4.0,Left wheel,Grey,4
69,45789673,15053,640,SUBARU,Impreza,2013,Sedan,No,Petrol,2,120333,4.0,Tiptronic,4x4,4.0,Left wheel,Silver,12
70,45803072,16546,769,HYUNDAI,Santa FE,2011,Jeep,Yes,Diesel,2.2,244538,4.0,Automatic,Front,4.0,Left wheel,Silver,4
71,45816072,12231,-,FORD,Transit,2004,Microbus,No,Diesel,2,125000,4.0,Manual,Front,2.0,Left wheel,Blue,4
72,45778517,17249,-,TOYOTA,Aqua,2013,Hatchback,No,Hybrid,1.5,50000,4.0,Variator,Front,4.0,Right-hand drive,Grey,6
73,45764897,706,1850,MERCEDES-BENZ,E 350,2008,Sedan,Yes,Diesel,3.5,122874,6.0,Automatic,Rear,4.0,Left wheel,Black,12
74,45814621,18817,-,RENAULT,Clio,2013,Hatchback,No,Diesel,1.5 Turbo,0,4.0,Manual,Front,4.0,Left wheel,White,4
75,45652524,2666,1018,MERCEDES-BENZ,ML 350,2011,Jeep,Yes,Diesel,3,0,6.0,Automatic,4x4,4.0,Left wheel,Black,12
76,45207807,12231,761,FORD,Transit Connect,2010,Goods wagon,No,Diesel,1.8 Turbo,208000,4.0,Manual,Front,4.0,Left wheel,Orange,2
77,44238131,5645,-,HONDA,FIT,2005,Hatchback,No,Petrol,1.3,67000,4.0,Automatic,Front,4.0,Right-hand drive,Yellow,4
78,43722104,16935,308,TOYOTA,Prius,2014,Hatchback,No,Hybrid,1.8,91358,4.0,Variator,Front,4.0,Left wheel,Grey,12
79,45768173,125,1750,TOYOTA,Highlander,2008,Sedan,Yes,Hybrid,3.3,287274,6.0,Automatic,4x4,4.0,Left wheel,White,12
80,45813374,6200,-,VOLKSWAGEN,Jetta,2003,Sedan,No,Petrol,2,55000,4.0,Manual,Front,4.0,Left wheel,Silver,4
81,45793212,10032,639,CHEVROLET,Orlando,2013,Jeep,Yes,Diesel,2,71340,4.0,Automatic,Front,4.0,Left wheel,Black,4
82,45801666,19121,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,112243,4.0,Automatic,Front,4.0,Left wheel,White,4
83,45769422,1725,584,HYUNDAI,Elantra,2014,Sedan,Yes,Petrol,1.8,107155,4.0,Automatic,Front,4.0,Left wheel,Black,12
84,45769829,392,1514,LEXUS,GX 470,2011,Sedan,Yes,Petrol,4.6,202048,8.0,Automatic,4x4,4.0,Left wheel,White,0
85,45803291,14740,765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,50534,4.0,Automatic,Front,4.0,Left wheel,Silver,4
86,45762479,862,779,CHEVROLET,Malibu,2013,Sedan,Yes,Petrol,2.5,228285,4.0,Automatic,Front,4.0,Left wheel,White,12
87,45768867,5331,1058,MERCEDES-BENZ,E 350,2012,Coupe,Yes,Petrol,3.5,185642,6.0,Automatic,Rear,2.0,Left wheel,Silver,12
88,45761646,60,-,TOYOTA,Prius,2009,Sedan,No,Hybrid,1.5,1000000,2.0,Automatic,Front,4.0,Left wheel,White,2
89,45811590,120740,2297,MERCEDES-BENZ,G 63 AMG,2016,Jeep,Yes,Petrol,5.5,62187,8.0,Automatic,4x4,4.0,Left wheel,White,12
90,45655629,627,586,TOYOTA,Prius,2012,Hatchback,Yes,Hybrid,1.8,435560,4.0,Automatic,Front,4.0,Left wheel,White,12
91,45536322,14113,650,CHEVROLET,Cruze LT,2016,Sedan,No,Petrol,1.4 Turbo,77000,4.0,Tiptronic,Front,4.0,Left wheel,White,12
92,45755701,627,397,LEXUS,CT 200h,2016,Hatchback,Yes,Hybrid,1.8,85320,4.0,Automatic,Front,4.0,Left wheel,Red,0
93,45776696,8781,503,TOYOTA,Prius C,2012,Hatchback,No,Hybrid,1.5,175000,4.0,Automatic,Front,4.0,Left wheel,Black,10
94,45804876,27924,642,HYUNDAI,Tucson,2012,Jeep,Yes,Diesel,2,105437,4.0,Automatic,Front,4.0,Left wheel,Black,4
95,45732975,9252,765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,595426,4.0,Automatic,Front,4.0,Left wheel,Orange,4
96,45730648,30887,629,HYUNDAI,Elantra,2015,Sedan,Yes,Diesel,1.6,51966,4.0,Automatic,Front,4.0,Left wheel,Silver,4
97,45809244,7464,247,HONDA,FIT,2014,Hatchback,Yes,Hybrid,1.3,114950,4.0,Automatic,Front,4.0,Left wheel,Blue,4
98,45774106,3293,1202,HYUNDAI,Sonata,2017,Sedan,Yes,Petrol,2.4,97614,4.0,Automatic,Front,4.0,Left wheel,Blue,12
99,45781890,10663,-,HYUNDAI,Tucson,2005,Jeep,No,Diesel,2.0 Turbo,200000,4.0,Manual,4x4,4.0,Left wheel,Black,0
100,45641335,11133,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,179381,4.0,Automatic,Front,4.0,Left wheel,Black,12
101,45810742,8154,-,OPEL,Astra,1999,Universal,No,Petrol,1.6,220000,4.0,Manual,Front,4.0,Left wheel,Black,4
102,45789959,8154,1288,KIA,Sportage,2007,Jeep,Yes,Diesel,2,110000,4.0,Automatic,Front,4.0,Left wheel,Blue,4
103,45732144,36827,640,HYUNDAI,Santa FE,2013,Jeep,Yes,Diesel,2,171755,4.0,Automatic,Front,4.0,Left wheel,Silver,4
104,45776754,8781,640,SUBARU,XV LIMITED,2013,Jeep,Yes,Petrol,2,77777,4.0,Variator,4x4,4.0,Left wheel,Orange,7
105,45789733,16308,-,TOYOTA,Prius,2008,Sedan,Yes,Petrol,1.5,259200,4.0,Automatic,Front,4.0,Left wheel,Green,8
106,45591643,14113,-,TOYOTA,Prius,2006,Sedan,No,Hybrid,1.5,0,4.0,Variator,Front,4.0,Left wheel,Silver,12
107,45803572,13172,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,547288,4.0,Automatic,Front,4.0,Left wheel,Orange,4
108,45674384,14740,645,TOYOTA,Prius,2011,Hatchback,No,Hybrid,1.8,161000,4.0,Variator,Front,4.0,Left wheel,Blue,11
109,45797535,36827,1249,HYUNDAI,H1,2017,Universal,Yes,Diesel,2.5,137000,4.0,Automatic,Front,4.0,Left wheel,White,4
110,45766779,2274,761,TOYOTA,Prius,2010,Hatchback,Yes,Hybrid,1.8,288891,4.0,Automatic,Front,4.0,Left wheel,Grey,12
111,45810066,59834,1079,HONDA,Civic,2018,Coupe,Yes,Petrol,2,27176,4.0,Automatic,Front,4.0,Left wheel,White,4
112,45804469,58332,1055,LEXUS,RX 350,2013,Jeep,Yes,Petrol,3.5,165581,4.0,Automatic,Front,4.0,Left wheel,Silver,4
113,45732959,15681,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,284189,4.0,Automatic,Front,4.0,Left wheel,Silver,4
114,45415451,12700,1996,FORD,Transit,2002,Microbus,No,Diesel,2.4,250000,4.0,Manual,Rear,2.0,Left wheel,White,4
115,45647522,11133,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,179381,4.0,Automatic,Front,4.0,Left wheel,Black,12
116,45777549,13485,-,FORD,Fiesta,2012,Hatchback,No,Petrol,1.6,100300,4.0,Automatic,Front,4.0,Left wheel,Black,2
117,45603341,14426,382,TOYOTA,Prius C,2017,Hatchback,Yes,Hybrid,1.5,26724,4.0,Tiptronic,Front,4.0,Left wheel,Blue,12
118,45656203,4391,308,TOYOTA,Prius,2014,Hatchback,Yes,Hybrid,1.8,151923,4.0,Automatic,Front,4.0,Left wheel,White,12
119,45757702,41397,1292,MERCEDES-BENZ,GLE 350,2016,Jeep,Yes,Petrol,3,86189,6.0,Automatic,4x4,4.0,Left wheel,Blue,12
120,45803198,20382,891,HYUNDAI,Sonata,2016,Sedan,Yes,Petrol,2,44608,4.0,Automatic,Front,4.0,Left wheel,White,4
121,45816345,4704,-,OPEL,Vectra B,1996,Hatchback,No,Petrol,1.8,260000,4.0,Manual,Front,4.0,Left wheel,Green,2
122,45768262,5018,645,TOYOTA,Prius,2011,Jeep,Yes,Hybrid,1.8,489584,4.0,Automatic,Front,4.0,Left wheel,Grey,12
123,45799988,46414,-,SUZUKI,Vitara GL+,2019,Jeep,No,Petrol,1.0 Turbo,4800,3.0,Tiptronic,Front,4.0,Left wheel,Golden,10
124,45768115,4077,474,CHEVROLET,Cruze,2013,Sedan,No,Petrol,1.4 Turbo,100000,4.0,Automatic,Front,4.0,Left wheel,Carnelian red,12
125,45740438,3450,-,OPEL,Vectra,1996,Sedan,No,CNG,1.6,1234,4.0,Manual,Front,2.0,Left wheel,Silver,2
126,45791343,22580,-,TOYOTA,Highlander,2008,Jeep,Yes,Hybrid,3.3,189000,6.0,Variator,4x4,4.0,Left wheel,Green,12
127,45810088,16960,503,TOYOTA,Aqua,2012,Hatchback,Yes,Petrol,1.5,90000,4.0,Automatic,Front,4.0,Left wheel,Red,4
128,45798235,10976,-,SUBARU,Legacy,2007,Sedan,No,LPG,2,210000,4.0,Tiptronic,4x4,4.0,Right-hand drive,Beige,2
129,45755757,13799,645,TOYOTA,Prius,2011,Hatchback,No,Hybrid,1.8,204387,4.0,Automatic,Front,4.0,Left wheel,White,0
130,45800987,19444,-,MERCEDES-BENZ,280,2008,Sedan,Yes,Diesel,3.0 Turbo,330000,6.0,Tiptronic,Rear,4.0,Left wheel,Black,8
131,45790438,6600,-,MERCEDES-BENZ,C 200,1997,Sedan,No,CNG,2,206000,4.0,Automatic,Rear,4.0,Left wheel,Green,4
132,45040979,28225,586,MERCEDES-BENZ,C 250,2012,Sedan,Yes,Petrol,1.8 Turbo,156800,4.0,Automatic,Rear,4.0,Left wheel,White,12
133,45635244,784,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,102397,4.0,Automatic,Front,4.0,Left wheel,Black,12
134,45758659,10663,-,NISSAN,Fuga,2006,Sedan,Yes,CNG,3.5,180000,6.0,Tiptronic,4x4,4.0,Right-hand drive,Silver,10
135,45768102,6586,259,CHEVROLET,Volt,2014,Hatchback,Yes,Hybrid,1.4,112123,4.0,Automatic,Front,4.0,Left wheel,Silver,0
136,45757672,10036,382,FORD,Fusion,2015,Sedan,Yes,Hybrid,2,100747,4.0,Automatic,Front,4.0,Left wheel,Green,12
137,45732570,58579,971,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2.2,111648,4.0,Automatic,Front,4.0,Left wheel,Grey,4
138,45803506,11604,639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,477316,4.0,Automatic,Front,4.0,Left wheel,Silver,4
139,45753221,11917,988,TOYOTA,Prius,2007,Sedan,No,Petrol,1.5,180000,4.0,Automatic,Front,4.0,Left wheel,Red,12
140,44878269,35752,-,MERCEDES-BENZ,E 350,2011,Sedan,Yes,Diesel,3.0 Turbo,167000,6.0,Tiptronic,Rear,4.0,Left wheel,Silver,12
141,45810267,27190,640,CHEVROLET,Malibu,2013,Sedan,Yes,Petrol,2,119150,4.0,Automatic,Front,4.0,Left wheel,White,4
142,45812503,21012,749,KIA,Sportage EX,2014,Jeep,Yes,Petrol,2.4,90000,4.0,Tiptronic,4x4,4.0,Left wheel,Black,12
143,45794094,9408,-,TOYOTA,VOXY,2002,Minivan,No,Petrol,2,11111,4.0,Automatic,Front,4.0,Right-hand drive,Black,4
144,45768089,19130,-,KIA,Optima ex,2014,Sedan,Yes,Petrol,2.4,35800,4.0,Automatic,Front,4.0,Left wheel,Black,12
145,45769667,14269,1324,TOYOTA,Highlander,2010,Jeep,Yes,Hybrid,3.3,300366,6.0,Automatic,4x4,4.0,Left wheel,Blue,12
146,45772218,8781,-,HONDA,FIT,2004,Hatchback,No,Petrol,1.5,172000,4.0,Automatic,Front,4.0,Right-hand drive,Grey,2
147,45732957,6899,642,HYUNDAI,Sonata,2012,Sedan,Yes,LPG,2,85471,4.0,Automatic,Front,4.0,Left wheel,Silver,4
148,45759947,12544,-,MITSUBISHI,Delica,2000,Minivan,Yes,LPG,3,161000,6.0,Automatic,4x4,4.0,Right-hand drive,White,2
149,45505872,16308,-,HONDA,FIT,2013,Hatchback,No,Petrol,1.5,110325,4.0,Automatic,Front,4.0,Right-hand drive,Grey,12
150,45764241,314,834,TOYOTA,Tacoma,2013,Jeep,Yes,Petrol,2.7,158870,4.0,Automatic,Rear,4.0,Left wheel,White,12
151,45809259,10722,271,HONDA,FIT,2014,Hatchback,Yes,Hybrid,1.5,81917,4.0,Automatic,Front,4.0,Left wheel,Silver,4
152,45193511,70,-,TOYOTA,Prius,2011,Sedan,Yes,Hybrid,1.8 Turbo,4000,6.0,Automatic,4x4,4.0,Left wheel,Grey,6
153,45803558,12544,765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,609333,4.0,Automatic,Front,4.0,Left wheel,Orange,4
154,45813916,627,1018,MERCEDES-BENZ,C 300,2011,Sedan,Yes,Petrol,3,144078,6.0,Automatic,Rear,4.0,Left wheel,Grey,12
155,45804629,17249,1141,LEXUS,HS 250h,2009,Sedan,Yes,Hybrid,2.4,264000,4.0,Tiptronic,Front,4.0,Left wheel,Blue,10
156,45766626,46728,1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,260771,8.0,Automatic,4x4,4.0,Left wheel,Black,0
157,45791671,10036,-,TOYOTA,Prius,2005,Sedan,No,Hybrid,1.5,21245,4.0,Variator,Front,4.0,Left wheel,Golden,4
158,45776044,10036,-,BMW,525,2001,Sedan,No,Petrol,2.5,195000,6.0,Tiptronic,Rear,4.0,Right-hand drive,Silver,8
159,45260848,26030,259,CHEVROLET,Volt,2014,Hatchback,No,Plug-in Hybrid,1.4,70400,4.0,Automatic,Front,4.0,Left wheel,White,8
160,45809552,93079,1866,CHEVROLET,Colorado,2020,Pickup,Yes,Petrol,3.6,3510,4.0,Automatic,Front,4.0,Left wheel,Grey,4
161,45798288,14426,528,HYUNDAI,Elantra,2014,Sedan,Yes,Diesel,1.6,78836,4.0,Automatic,Front,4.0,Left wheel,Silver,4
162,45655127,941,1055,LEXUS,RX 450,2013,Jeep,Yes,Hybrid,3.5,361603,6.0,Automatic,Front,4.0,Left wheel,Black,12
163,45763762,69935,1646,LEXUS,GX 470,2015,Jeep,Yes,Petrol,4.6,273493,8.0,Automatic,4x4,4.0,Left wheel,Silver,0
164,45625933,7213,915,BMW,X5,2014,Jeep,Yes,Diesel,3,0,6.0,Automatic,4x4,4.0,Left wheel,Black,0
165,45771963,706,761,TOYOTA,Prius,2010,Jeep,Yes,Hybrid,1.8,221760,4.0,Automatic,Front,4.0,Left wheel,Blue,12
166,44132007,45,-,TOYOTA,Prius,2012,Hatchback,No,Hybrid,1.8,100000,4.0,Automatic,Front,4.0,Left wheel,White,12
167,45794376,8781,-,HONDA,FIT,2005,Sedan,No,Petrol,1.5,1000,4.0,Automatic,Front,4.0,Right-hand drive,Silver,4
168,45730373,18826,707,SSANGYONG,REXTON,2011,Jeep,Yes,Diesel,2,186412,4.0,Automatic,Front,4.0,Left wheel,Silver,4
169,45803109,9565,765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,42000,4.0,Automatic,Front,4.0,Left wheel,Orange,4
170,45794280,9408,-,MERCEDES-BENZ,S 430,2000,Sedan,Yes,Petrol,4.3,0,8.0,Tiptronic,Rear,4.0,Left wheel,Silver,0
171,45802038,16088,836,HYUNDAI,Genesis,2010,Coupe,Yes,Petrol,2,100000,4.0,Automatic,Front,4.0,Left wheel,Grey,4
172,45804517,27479,1203,JEEP,Grand Cherokee,2011,Jeep,Yes,Petrol,3.6,234000,4.0,Automatic,Front,4.0,Left wheel,Grey,4
173,45750680,784,640,BMW,328,2013,Sedan,Yes,Petrol,2,189259,4.0,Automatic,Rear,4.0,Left wheel,Black,12
174,45764233,220,1194,TOYOTA,Tacoma,2013,Jeep,Yes,Petrol,4,239342,6.0,Automatic,4x4,4.0,Left wheel,Silver,12
175,45809580,25089,595,TOYOTA,Aqua,2015,Hatchback,Yes,Petrol,1.5,68000,4.0,Automatic,Front,4.0,Left wheel,Black,4
176,44339079,100,-,TOYOTA,Camry,2008,Sedan,Yes,Hybrid,2.4,150000,6.0,Automatic,Front,4.0,Left wheel,Black,8
177,45703533,1700,-,RENAULT,Laguna,1996,Universal,No,Petrol,1.6,10000,4.0,Manual,Front,4.0,Left wheel,Blue,2
178,45815508,12544,1273,LEXUS,RX 350,2015,Jeep,Yes,Petrol,3.5,92035,6.0,Automatic,4x4,4.0,Left wheel,Black,12
179,45816605,13485,1288,CHEVROLET,Captiva,2007,Pickup,Yes,Diesel,2.0 Turbo,120000,4.0,Automatic,Front,4.0,Left wheel,White,8
180,45445260,25089,-,BMW,X5,2008,Jeep,Yes,Diesel,3.0 Turbo,213000,6.0,Tiptronic,4x4,4.0,Left wheel,Black,8
181,45765506,1568,2018,TOYOTA,Tundra,2015,Jeep,Yes,Petrol,5.7,128000,8.0,Automatic,4x4,4.0,Left wheel,White,12
182,45676055,10349,585,TOYOTA,Prius,2013,Hatchback,No,Hybrid,1.8,317000,4.0,Variator,Front,4.0,Left wheel,White,8
183,45807532,3450,1325,SUBARU,Outback,2019,Jeep,Yes,Petrol,2.5,15480,4.0,Automatic,4x4,4.0,Left wheel,White,12
184,45651661,157,1058,MERCEDES-BENZ,ML 350,2012,Jeep,Yes,Diesel,3.5,245762,6.0,Automatic,4x4,4.0,Left wheel,Black,12
